Logging start;
Sampling rate;10000
timestamp,Min,Max,Avg,Peak,PeaktoPeak,RMS;
1,5.09801,5.10136,5.09955,5.10136,0.00335503,5.09956;
1,5.09831,5.10106,5.09958,5.10106,0.00274563,5.09958;
1,5.09801,5.10106,5.09956,5.10106,0.00305033,5.09957;
1,5.09831,5.10106,5.09959,5.10106,0.00274563,5.09961;
1,5.09831,5.10106,5.09961,5.10106,0.00274563,5.09962;
1,5.0977,5.10106,5.0996,5.10106,0.0033555,5.09961;
1,5.09831,5.10106,5.09963,5.10106,0.00274563,5.09963;
1,5.09831,5.10106,5.09962,5.10106,0.00274563,5.09963;
1,5.09831,5.10106,5.09962,5.10106,0.00274563,5.09963;
1,5.09801,5.10106,5.09962,5.10106,0.00305033,5.09964;
1,5.09801,5.10106,5.09963,5.10106,0.00305033,5.09964;
1,5.09801,5.10106,5.09963,5.10106,0.00305033,5.09964;
1,5.09831,5.10106,5.09958,5.10106,0.00274563,5.09959;
1,5.09831,5.10106,5.09961,5.10106,0.00274563,5.09962;
1,5.08886,5.10716,5.09965,5.10716,0.018302,5.09967;
1,5.09709,5.10167,5.0996,5.10167,0.00457573,5.0996;
1,5.0977,5.10167,5.0997,5.10167,0.00396585,5.09971;
1,5.09831,5.10136,5.09963,5.10136,0.00305033,5.09964;
1,5.09831,5.10106,5.09968,5.10106,0.00274563,5.09969;
1,5.07635,5.11478,5.09939,5.11478,0.038434,5.0994;
1,5.0913,5.10655,5.09964,5.10655,0.0152516,5.09965;
1,5.09557,5.10197,5.09973,5.10197,0.00640631,5.09973;
1,5.08886,5.11478,5.09965,5.11478,0.0259275,5.09966;
1,5.08825,5.116,5.09993,5.116,0.0277576,5.09994;
1,5.09709,5.10197,5.09964,5.10197,0.00488091,5.09964;
1,5.0977,5.10167,5.09951,5.10167,0.00396585,5.09951;
1,5.09831,5.10106,5.09965,5.10106,0.00274563,5.09966;
1,5.08916,5.10716,5.0995,5.10716,0.0179968,5.09951;
1,5.04737,5.23588,5.09911,5.23588,0.18851,5.09919;
1,5.07361,5.13583,5.09242,5.13583,0.0622268,5.09244;
1,4.84422,5.09984,5.08204,5.09984,0.255617,5.08208;
1,5.03182,5.13827,5.09404,5.13827,0.106456,5.09407;
1,4.96898,5.09526,5.03281,5.09526,0.126284,5.03286;
1,4.93756,5.1337,5.03034,5.1337,0.196136,5.0304;
1,4.97386,5.37193,5.03804,5.37193,0.398067,5.03822;
1,4.94031,5.10777,5.01823,5.10777,0.167463,5.0184;
1,4.93665,5.08642,5.03767,5.08642,0.149771,5.03778;
1,4.88632,5.27645,5.05246,5.27645,0.390137,5.05339;
1,4.99155,5.16298,5.06373,5.16298,0.171429,5.06387;
1,5.00345,5.08794,5.06166,5.08794,0.0844941,5.06169;
1,4.82988,5.25876,5.06748,5.25876,0.428876,5.06811;
1,4.94336,5.18372,5.14119,5.18372,0.240366,5.14123;
1,4.60569,5.38504,5.08537,5.38504,0.779358,5.08661;
1,5.21392,5.46801,5.30358,5.46801,0.254092,5.30416;
1,4.94824,5.17152,5.05688,5.17152,0.223284,5.05722;
1,4.9885,5.12577,5.0754,5.12577,0.137265,5.0755;
1,4.99308,5.14071,5.02749,5.14071,0.147635,5.02754;
1,4.97233,5.19684,5.06742,5.19684,0.224504,5.06798;
1,5.0245,5.13736,5.08092,5.13736,0.112862,5.08101;
1,4.9885,5.06964,5.01784,5.06964,0.0811381,5.01786;
1,5.019,5.08977,5.05826,5.08977,0.0707674,5.05827;
1,4.94946,5.08489,4.99903,5.08489,0.135434,4.99907;
1,4.94641,5.0431,5.00186,5.0431,0.0966949,5.00194;
1,4.93634,5.17915,5.00841,5.17915,0.242806,5.00867;
1,4.97172,5.09587,5.0323,5.09587,0.124148,5.03247;
1,4.9824,5.05805,5.01668,5.05805,0.0756483,5.01672;
1,5.00711,5.05164,5.02747,5.05164,0.0445347,5.02747;
1,4.9943,5.15993,5.04547,5.15993,0.165632,5.0457;
1,5.00162,5.03487,5.01538,5.03487,0.0332484,5.01538;
1,5.00253,5.22002,5.08943,5.22002,0.217488,5.08974;
1,4.97416,5.03395,5.00656,5.03395,0.0597863,5.00656;
1,4.99155,5.1703,5.0647,5.1703,0.17875,5.065;
1,4.98484,5.01778,4.99963,5.01778,0.0329437,4.99965;
1,4.98149,4.99735,4.98825,4.99735,0.0158615,4.98826;
1,4.99125,5.01168,5.00006,5.01168,0.0204372,5.00006;
1,4.9943,5.00253,4.99797,5.00253,0.00823545,4.99797;
1,4.95586,5.0489,5.00191,5.0489,0.0930347,5.00194;
1,4.98179,5.02846,5.00871,5.02846,0.04667,5.00871;
1,4.97935,5.05622,5.00886,5.05622,0.0768685,5.00888;
1,5.00284,5.04097,5.02656,5.04097,0.0381293,5.02655;
1,4.98545,5.06567,5.02355,5.06567,0.0802236,5.02356;
1,4.97294,5.055,5.01545,5.055,0.0820541,5.01548;
1,4.94763,5.03151,5.01419,5.03151,0.0838838,5.01419;
1,5.0004,5.01412,5.00776,5.01412,0.0137267,5.00775;
1,4.98179,5.01748,5.00709,5.01748,0.0356884,5.00709;
1,4.99338,5.01138,5.00195,5.01138,0.0179973,5.00196;
1,4.98454,5.00497,4.99208,5.00497,0.0204368,4.99209;
1,4.96074,5.02022,4.98483,5.02022,0.0594811,4.98485;
1,4.97722,4.98576,4.98103,4.98576,0.00854063,4.98104;